Planentwurf Wintersemester 2023/24 IAA (Stand 05.07.2023);;;;;;;;;;
Name;Titel;Art;Modus;oblig.;wahlobl.;fakult.;Dozent;Tag;Zeit;Raum
271434-103;"Kult./Länder103
US American Politics and Society";S;wöchentl.;;"B_AA__3
B_InEn3
SELAEn5
B_Pä__3";;Ziesche, D.;Di;11:30-13:00;"2/W059
(C25.059)"
271434-104;"Kult./Länder104
Research Colloquium";K;wöchentl.;;M_AA__3;;Stolz, K.;Di;17:15-18:45;"2/N002
(C10.002)"
271434-105;"Kult./Länder105
Comparative Social and Cultural Research";S;wöchentl.;;"M_AA__3
M_Po__3";;Stolz, K.;Di;13:45-15:15;"2/W044
(C25.044)"
271434-108;"Kult./Länder103
British Politics and Society";S;wöchentl.;;"B_AA__3
B_InEn3
B_Pä__3
SELAEn5";;Ziesche, D.;Di;15:30-17:00;"2/W043
(C25.043)"
271435-122;"TESOL122
Digital Learning";S;wöchentl.;M_AA__1;;;Maschke, K.;Mi;13:45-15:15;"1/273
(A10.273)"
271435-123;"TESOL123
Introduction to English Language Teaching";S;wöchentl.;;M_AA__1;;Maschke, K.;Mi;15:30-17:00;"1/273
(A10.273)"
271435-124;"TESOL124
Intercultural Curriculum Planning and Materials Development";Ü;wöchentl.;;M_AA__3;;NN 14;Fr;13:45-15:15;"2/W059
(C25.059)"
271435-126;"TESOL126
TESOL Research Colloquium";K;wöchentl.;;M_AA__3;;Schluer, J.;Fr;11:30-13:00;"2/W059
(C25.059)"
271435-127;"TESOL127
Intercultural communication and emotions";Ü;wöchentl.;;;"B_AA__1
B_AA__3
B_AA__5
B_Pä__1
B_Pä__3
B_Pä__5
B_Ge__1
B_Ge__3
B_Ge__5
SGWs
M_AA__1
M_AA__3
M_Ko__1
M_Ko__3
M_GI__1
M_GI__3";Liu, Y.;Mo;15:30-17:00;"2/W038
(C25.038)"
271435-D125;"TESOLD125
Classroom Observation and Practical Language Teaching";P;kein (dez.LV);;M_AA__3;;Schluer, J.;;-;
